# Migration Report
# Generated: 2026-08-04T04:52:25.297Z
# Elapsed: 5.2s
# Migrated: 2 | Skipped: 1580 | Errors: 0
#
SKIPPED | BIO/101/2023/Bio101-Topic 1-Chemistry of water (By Dr. Rajesh Ramchandran).ppt |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2025/Midsem/CHM202 MS1 2025.jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2025/Midsem/CHM202 Midsem 2 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/unknown/Solutions_of_assignments_1-4_CHM202.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2025/Endsem/Endsem Paper 2025.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2025/Midsem/MidSem1(2025).pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2026/Endsem/Ans Key_ES-CHm 203-May 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2026/Endsem/ES exam_CHM 203_May 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2026/Midsem/MS1 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/203/2026/Midsem/MS2 Paper.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2025/Endsem/Endsem Paper 2024-25.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Asignment_Molecular weight.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Assignment polymer.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Assignment-Molecular Interactions and Liquids.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Assignment-Surface.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 1 Assignment Solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 1 Assignment.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 5 Assignment 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 5 Assignment 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 5 Assignment 3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 6 Assignment 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 6 Assignment 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Assignments/Week 7 Assignment.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Endsem/CHM204 Endsem 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Midsem/Solved MS1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/204/2026/Midsem/Solved MS2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/301/2025/Quantum_Chem_301_Q_P.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/302/2025/Organic_Chem_302_Question_Papers.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/303/2025/Inorganic_Chem_303_Q_P_&_Quiz.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/306/2026/transition metal complex.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_Patil_lecture1_Contents and Evaluation scheme.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture10.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture11.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture12.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture13.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture14.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture4.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture5.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture6.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture7.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture8.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/EES102Sinha_lecture9.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/Lectures 15-17_Water- cycle, conservation, harvesting, treatment, footprint.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/Lectures 18-20_Natural Biogeochemical cycles  influence of anthropogenic activities.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Lecture Slides/Lectures 21-23_Managing our waste.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Midsem/IMG_20260205_192441.jpg |  |  | Already QPR-LFS-R2
SKIPPED | EES/102/2026/Quiz/QUIZ 1&2 EES 102 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/1IDC 203_new1-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/Desert Region & Wind Erosion_.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/EES 201_11.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/EES 201_12_F.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/EES 201_Aug 2024 updated.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/Glacial Landforms_.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/201/2024/Study Material/Hydrological Cycle.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Aerosols.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/AtmtransportEES202Four.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/EESstratosphericandtropOzonecgemees202handouts.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Elninoslide.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Extrahandoutfromlectureonradiationandaerosols.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Handoutofslidesforsomefigurescontentnotintextbook.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/IPCC full report 2007.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Midsems/EES202midssem1_2024.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Midsems/midsemtwo2024_EES202.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/NAAQS.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/OZONE CHEMISTRY.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Practice Questions/Chapter 1 practice problems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Practice Questions/numericalquestionsforpractise.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Textbook Solutions/docu062709_solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Tutorials/EES202Tutorial.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/202/2024/Tutorials/Tutorial Session 11102024.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-1_Introduction_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-1_Introduction_2.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-1_Introduction_3.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-1_Introduction_4.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-4_ppt.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lec-5_ppt.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-10a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-11a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-12a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-13a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-14a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-15a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-16.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-17a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-18a.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-19a.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-22.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-6.ppt.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-7a.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-8.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture-9.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture_Tutorial1_ICPMS.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/203/2025/Study Material/Lecture_Tutorial1_ICPMS_revised.pptx |  |  | Already QPR-LFS-R2
SKIPPED | EES/204/2025/Assignments/Assignment_1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Biogeochemical cycling of elements_The Global carbon cycle24-27.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Large scale eutrophication and food production37.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Lithosphere22-23.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Phosphorous cycle32.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Sulfur cycle29-31.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_The Mercury cycle33.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_The Nitogen cycle27-29.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_The coupling of biogeochemical cycles36.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Patil_Trace metals cycling34-35.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture01_Sunil.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture02.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture03.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture04.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture05.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture06.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture07.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture08.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture09.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture10.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture11.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture12.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture13.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture14.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture15.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture16.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture17.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture18.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture19.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture20.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/EES301Sinha_lecture21.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/Endsem/EES301_Endsem2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/Midsems/Midsem1_EES301.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/301/2025/Midsems/Midsem2_EES301.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/311/2025/Endsem/EES311_Endsem2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/403/2025/1_2_3_4_5_6_merged.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/403/2025/Lect1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/403/2025/Lect2&3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/403/2025/lect4.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Midsems/EES404_Midsem1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Midsems/EES404_Midsem2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/10_ABL.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/11_Thermodynamics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/6-General_Circulation_.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/6. GCM_Notes_Into.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/7_Cloudbasics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/8_Meteorology_Basics_Chapter.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/8_Monsoons_.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/9_Radiation_Physics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/Atmospheric-Dynamics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/404/2025/Study Material/Ozone_Hole.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/640/2026/2nd Midsem.pdf |  |  | Already QPR-LFS-R2
SKIPPED | EES/640/2026/Midsem1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/Argument _HSS101_2011 conv.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/Course Outline_Prashant_270824.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/Gerald Graff, Cathy Birkenstein - They Say, I Say_ The Moves That Matter in Academic Writing-W. W. Norton & Company (2009)-169-220.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/Ill Matched Partners_Claire Kehrwald Cook - Line by line_ how to edit your own writing-Houghton Mifflin (1985)-54-74.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/Know your English.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2024/class_slides/vocabulary conv.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/101/2025/Midsem/HSS101_MIDSEM_2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_10_HSS_102_HoS.docx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_1_RB_HSS 102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_2_RB_HSS 102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_3_RB_HSS 102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_4.docx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_5,6.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_7.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lecture_8_RB_HSS_102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Lectures/Lectures 12, 13_HSS 102_HoS.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2022/Papers/Endsems.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2025/Notes/HSS102_Economics_Complete_Notes.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Assignments/Set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Assignments/Set 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Assignments/Set 3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Midsem 1/IMG_20260204_162221_Converted.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Notes/4. HSS102_08.04.2026_Types of Goods.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Notes/5. HSS102_10.04.2026_Optimization-Production.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Notes/6. HSS102_15.04.2026_Production.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Notes/7. HSS102_17.04.2026_Cost.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/102/2026/Notes/Theory of Demand, Supply and Market Equilibrium.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/201/2025/End sem/HSS201_EndSem_Solution.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/201/2025/Mid sem/HSS_201[with ans-key].pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/201/2025/Midsem/HSS201 Midsem 1 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/201/2025/Midsem/HSS201 Midsem 2 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/202/Lecture_7_RB_HSS 102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/202/Lecture_8_RB_HSS_102.pptx |  |  | Already QPR-LFS-R2
SKIPPED | HSS/202/Papers 2022/HSS Midsems 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/202/Papers 2022/HSS Midsems 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/IMG20220824170305.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/IMG20220824170311.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/Screenshot_2022-08-24-16-58-08-28_e46acc4301d552178f1fc7f923d8665c.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/Screenshot_2022-08-24-16-58-15-66_e46acc4301d552178f1fc7f923d8665c.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/Screenshot_2022-08-24-16-58-22-57_e46acc4301d552178f1fc7f923d8665c.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/Screenshot_2022-08-24-16-58-36-36_e46acc4301d552178f1fc7f923d8665c.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/640/Screenshot_2022-08-24-16-58-51-60_e46acc4301d552178f1fc7f923d8665c.jpg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/642/2025/Midsem/HS642-MS2.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | HSS/658/2026/Endsem/endsem_loneliness.jpg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/101/2025/Endsem/IDC 101 end sem 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Lecture1-Introduction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Supplement1-Introduction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Supplement2-Introduction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Supplement3-Introduction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Supplement4-LabEquipments.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220509-IDC102-Supplement5-BreadBoard.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220516-IDC102-Lecture2-LabEquipmentsOsxilloscope.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220523-IDC102-Lecture3-Resistor.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220606-IDC102-Lecture5-Inductor.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220606-IDC102-Lecture6-LRC-I.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-20220711-Lecture-8-Transistor.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/102/2022/SJ-IDC102-Lecture9-Boolean.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/201/2026/Midsem/Intro_to_Astro.jpg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/201/2026/Midsem/photo-2026-04-19T18-49-07-257Z.jpg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/202/2018/MidSem 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/202/2018/MidSem 2-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/202/2018/MidSem 2-2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/02 Lecture_IDC203.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/03IDC 203_new_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/04IDC 203_new_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/05IDC 203_new_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/08Lecture _IDC203_Minerals_new.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/09Lecture _IDC203.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/1) Mineralogy.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/11Lecture _IDC203_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/12Lecture _IDC203_1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/14IDC.pptx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/2) Sedimentary rocks.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/3) Igneous Petrology.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/Igneous Petrology.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/Metamorphic Rocks.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/203/unknown/Sedimentology.ppt |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2019/Midsem2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2020/Explanations/2023-01-30-pumping-lemma.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2020/Explanations/2023-02-28-cfg-pumping-lemma.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2020/Explanations/turing-example1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2020/Midsem2-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Exercises_/2023-01-16-exercise01.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Exercises_/2023-01-27-exercise02.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Exercises_/2023-02-05-exercise03.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Exercises_/2023-02-23-exercise04.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Midsem1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/2023/Midsem2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/204/unknown/TOC Resources.docx |  |  | Already QPR-LFS-R2
SKIPPED | IDC/205/2022/Endsems MS21 IDC 205.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/205/2022/Midsems 1.jpg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/205/2022/Midsems 2.jpg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/208/2022/Midsems 1 MS 21.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | IDC/208/2022/Midsems 2 MS 21.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2025/Endsem/Endsem 2024-25.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2025/Midsem/MS1 2024-25.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2025/Midsem/MS2 2024-25.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2026/Endsem/IDC214 Endsem 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2026/Midsem/IDC214 Midsem 1 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/214/2026/Midsem/IDC214 Midsem 2 2026.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Exercise-Set-All.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Exercise-Set-MS-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Exercise-Set-MS-2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Task-04.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Week-03_Task-Appendix.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Week-03_Task.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Week-04-05_Task.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Assignments/Week-04_Worksheet-26-08.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Endsem/IDC216 Endsem 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Midsem/Midsem1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | IDC/216/2025/Midsem/Midsem2.pdf |  |  | Already QPR-LFS-R2
